,bus_count,last_update,msg_count,segment_id,traffic
134,1,2014-12-22T23:50:32,11,133,26
135,1,2013-02-02T23:50:32,2,1189,22
136,2,2013-02-18T23:50:32,6,1105,18
137,2,2014-11-29T23:50:32,13,295,16
138,0,2014-12-22T23:50:32,0,229,-1
139,0,2014-11-27T23:50:32,0,318,-1
140,0,2013-02-09T23:50:32,0,597,-1
141,0,2014-12-13T23:50:32,0,1059,-1
142,2,2013-02-07T23:50:32,8,1215,20
143,0,2013-02-10T23:50:32,0,36,-1
144,1,2014-12-14T23:50:32,4,20,23
145,1,2014-12-14T23:50:32,6,698,25
146,1,2013-02-08T23:50:32,8,140,24
147,0,2013-02-27T23:50:32,0,660,-1
148,1,2014-12-19T23:50:32,11,528,33
149,1,2014-12-15T23:50:32,1,83,24
150,1,2013-02-26T23:50:32,2,458,33
151,1,2013-01-31T23:50:32,1,896,44
152,0,2013-02-15T23:50:32,0,1055,-1
153,1,2014-12-26T23:50:32,6,707,20
154,1,2013-02-15T23:50:32,8,695,24
155,1,2014-12-28T23:50:32,8,11,30
156,1,2013-01-23T23:50:32,9,231,33
157,4,2013-01-16T23:50:32,9,566,31
158,0,2014-12-25T23:50:32,0,106,-1
159,0,2014-12-26T23:50:32,0,851,-1
160,1,2013-02-04T23:50:32,10,1238,24
161,1,2013-02-24T23:50:32,9,54,26
162,0,2014-11-25T23:50:32,0,60,-1
163,1,2013-02-12T23:50:32,2,73,24
164,0,2013-01-15T23:50:32,0,985,-1
165,0,2014-12-20T23:50:32,0,1099,-1
166,1,2014-12-02T23:50:32,16,275,20
167,1,2014-12-21T23:50:32,4,1274,29
168,0,2013-02-12T23:50:32,0,1018,-1
169,1,2014-12-11T23:50:32,6,1214,21
170,0,2014-11-28T23:50:32,0,1184,-1
171,1,2014-12-08T23:50:32,6,782,22
172,0,2013-02-01T23:50:32,0,115,-1
173,1,2013-02-26T23:50:32,1,826,28
174,1,2014-12-22T23:50:32,2,605,49
175,1,2014-12-18T23:50:32,5,413,22
176,4,2014-11-28T23:50:32,19,861,8
177,0,2014-12-01T23:50:32,0,832,-1
178,1,2013-02-22T23:50:32,10,264,22
179,0,2014-12-09T23:50:32,0,1081,-1
180,2,2014-12-22T23:50:32,7,210,25
181,0,2014-12-30T23:50:32,0,307,-1
182,1,2014-12-08T23:50:32,7,577,22
183,0,2013-02-28T23:50:32,0,1134,-1
184,1,2013-02-11T23:50:32,5,489,36
185,1,2014-12-01T23:50:32,7,302,25
186,0,2013-02-07T23:50:32,0,829,-1
187,1,2014-12-02T23:50:32,7,427,27
188,1,2014-11-27T23:50:32,7,179,29
189,2,2013-02-11T23:50:32,23,231,25
190,3,2014-12-16T23:50:32,16,899,25
191,0,2014-12-25T23:50:32,0,1282,-1
192,1,2013-01-25T23:50:32,3,549,10
193,1,2013-01-16T23:50:32,10,465,16
194,1,2014-12-12T23:50:32,2,584,19
195,0,2013-02-28T23:50:32,0,1267,-1
196,0,2014-12-29T23:50:32,0,1011,-1
197,2,2013-02-20T23:50:32,10,355,21
198,0,2014-12-09T23:50:32,0,1188,-1
199,0,2013-02-14T23:50:32,0,835,-1
200,0,2014-12-01T23:50:32,0,465,-1
201,0,2013-02-14T23:50:32,0,994,-1
202,1,2013-02-27T23:50:32,5,1260,13
203,0,2013-01-31T23:50:32,0,100,-1
204,0,2013-01-24T23:50:32,0,19,-1
205,1,2013-02-19T23:50:32,10,801,24
206,2,2013-02-13T23:50:32,11,1277,23
207,1,2013-02-11T23:50:32,1,1200,29
208,0,2014-12-06T23:50:32,0,1214,-1
209,0,2013-01-22T23:50:32,0,717,-1
210,2,2013-02-02T23:50:32,12,914,18
211,0,2014-12-07T23:50:32,0,844,-1
212,0,2013-01-20T23:50:32,0,45,-1
213,0,2013-02-04T23:50:32,0,913,-1
214,0,2014-12-16T23:50:32,0,405,-1
215,1,2013-02-28T23:50:32,4,63,31
216,1,2013-01-21T23:50:32,2,273,27
217,3,2013-02-21T23:50:32,27,92,16
218,2,2014-12-16T23:50:32,21,347,28
219,2,2014-12-17T23:50:32,14,1273,17
220,2,2014-12-06T23:50:32,21,291,20
221,0,2014-12-14T23:50:32,0,1001,-1
222,1,2013-02-03T23:50:32,2,1282,20
223,1,2014-12-07T23:50:32,2,580,55
224,1,2014-12-06T23:50:32,6,305,20
225,0,2013-01-25T23:50:32,0,842,-1
226,3,2013-02-08T23:50:32,19,76,11
227,0,2014-12-30T23:50:32,0,63,-1
228,0,2013-02-12T23:50:32,0,439,-1
229,1,2013-02-23T23:50:32,1,592,41
230,3,2013-01-23T23:50:32,5,610,55
231,1,2013-02-23T23:50:32,2,188,25
232,1,2013-02-05T23:50:32,2,775,28
233,0,2013-01-24T23:50:32,0,1060,-1
234,0,2013-02-06T23:50:32,0,1249,-1
235,0,2014-12-30T23:50:32,0,886,-1
236,2,2013-02-08T23:50:32,14,97,27
237,0,2014-11-28T23:50:32,0,30,-1
238,0,2014-11-30T23:50:32,0,1091,-1
239,3,2013-02-20T23:50:32,20,137,25
240,0,2013-01-22T23:50:32,0,61,-1
241,0,2014-12-30T23:50:32,0,473,-1
242,1,2014-12-23T23:50:32,8,802,23
243,1,2014-12-25T23:50:32,1,504,30
244,0,2013-02-08T23:50:32,0,234,-1
245,0,2013-02-07T23:50:32,0,1099,-1
246,1,2013-02-04T23:50:32,4,979,18
247,0,2013-02-16T23:50:32,0,374,-1
248,1,2013-01-15T23:50:32,1,270,35
249,0,2013-01-27T23:50:32,0,116,-1
250,1,2014-12-07T23:50:32,12,939,15
251,0,2013-02-02T23:50:32,0,1232,-1
252,3,2014-12-05T23:50:32,26,1245,22
253,0,2013-02-05T23:50:32,0,1051,-1
254,1,2013-02-27T23:50:32,10,572,27
255,0,2014-12-24T23:50:32,0,850,-1
256,1,2013-02-18T23:50:32,4,338,22
257,2,2013-01-24T23:50:32,13,1245,20
258,1,2014-12-28T23:50:32,13,1258,24
259,1,2013-02-14T23:50:32,4,557,14
260,2,2013-01-16T23:50:32,12,200,14
261,1,2013-02-15T23:50:32,7,702,26
262,3,2013-01-30T23:50:32,16,137,33
263,1,2013-02-03T23:50:32,2,127,25
264,1,2014-12-09T23:50:32,7,78,22
265,1,2014-12-16T23:50:32,6,568,15
266,2,2014-12-12T23:50:32,14,235,15
267,0,2014-12-07T23:50:32,0,765,-1
268,1,2014-12-24T23:50:32,1,926,31
269,1,2014-11-27T23:50:32,9,134,20
270,1,2013-01-23T23:50:32,8,707,17
271,0,2014-12-07T23:50:32,0,778,-1
272,1,2014-12-07T23:50:32,8,824,29
273,1,2013-01-31T23:50:32,7,291,16
274,0,2013-02-11T23:50:32,0,832,-1
275,1,2013-02-12T23:50:32,14,209,12
276,0,2013-02-03T23:50:32,0,845,-1
277,1,2014-11-25T23:50:32,5,26,20
278,1,2013-01-18T23:50:32,9,1171,40
279,0,2013-01-29T23:50:32,0,252,-1
280,1,2013-02-15T23:50:32,11,4,18
281,2,2014-12-29T23:50:32,13,517,24
282,4,2013-02-15T23:50:32,10,889,50
283,3,2013-02-07T23:50:32,6,594,46
284,0,2013-01-21T23:50:32,0,53,-1
285,2,2013-01-17T23:50:32,9,232,38
286,0,2014-12-18T23:50:32,0,402,-1
287,1,2014-12-12T23:50:32,5,515,23
288,1,2013-01-26T23:50:32,7,542,17
289,1,2014-12-26T23:50:32,1,895,47
290,0,2014-12-11T23:50:32,0,301,-1
291,0,2013-02-16T23:50:32,0,824,-1
292,0,2013-01-25T23:50:32,0,17,-1
293,0,2014-11-28T23:50:32,0,1244,-1
294,1,2014-12-11T23:50:32,7,196,25
295,7,2013-02-28T23:50:32,75,1270,16
296,2,2014-12-02T23:50:32,13,162,26
297,0,2013-02-03T23:50:32,0,384,-1
298,0,2014-11-27T23:50:32,0,237,-1
299,2,2014-12-14T23:50:32,9,1265,24
300,8,2013-01-16T23:50:32,44,1300,17
301,0,2014-12-13T23:50:32,0,228,-1
302,1,2013-02-01T23:50:32,6,828,31
303,0,2013-01-23T23:50:32,0,1225,-1
304,0,2013-01-29T23:50:32,0,275,-1
305,0,2014-12-02T23:50:32,0,496,-1
306,0,2013-02-22T23:50:32,0,17,-1
307,0,2013-01-25T23:50:32,0,574,-1
308,0,2014-12-05T23:50:32,0,770,-1
309,0,2014-12-06T23:50:32,0,777,-1
310,1,2013-01-15T23:50:32,9,159,28
311,1,2014-12-18T23:50:32,8,856,31
312,0,2014-12-26T23:50:32,0,960,-1
313,1,2013-02-06T23:50:32,4,238,25
314,0,2013-02-17T23:50:32,0,457,-1
315,0,2014-11-27T23:50:32,0,118,-1
316,0,2013-02-23T23:50:32,0,888,-1
317,0,2014-12-14T23:50:32,0,785,-1
318,0,2014-12-05T23:50:32,0,1249,-1
319,2,2013-02-02T23:50:32,13,708,25
320,0,2014-12-06T23:50:32,0,1227,-1
321,1,2014-12-26T23:50:32,7,845,20
322,2,2013-01-27T23:50:32,5,806,36
323,1,2014-12-09T23:50:32,5,209,19
324,0,2014-11-26T23:50:32,0,816,-1
325,0,2013-02-04T23:50:32,0,1040,-1
326,0,2014-11-25T23:50:32,0,556,-1
327,1,2014-12-20T23:50:32,2,1285,22
328,0,2013-02-20T23:50:32,0,831,-1
329,2,2014-12-23T23:50:32,9,765,25
330,0,2013-02-03T23:50:32,0,54,-1
331,0,2014-12-12T23:50:32,0,279,-1
332,1,2013-02-12T23:50:32,16,277,22
333,1,2013-01-17T23:50:32,6,221,30
334,0,2013-01-16T23:50:32,0,252,-1
335,0,2014-11-27T23:50:32,0,972,-1
336,0,2013-01-19T23:50:32,0,881,-1
337,2,2013-02-08T23:50:32,16,422,17
338,0,2013-02-13T23:50:32,0,765,-1
339,0,2013-01-16T23:50:32,0,1183,-1
340,2,2013-02-20T23:50:32,11,174,25
341,1,2013-01-27T23:50:32,2,1189,22
342,1,2013-02-12T23:50:32,12,1100,25
343,1,2014-12-29T23:50:32,12,454,12
